Speaker,20151013,20151219
WEBB,9,0
SANDERS,19,26
COOPER,20,0
RADDATZ,0,20
ANNOUNCER,0,0
QUESTION,0,0
MUIR,0,39
CHAFEE,16,0
WILKINS,0,0
MCELVEEN,0,0
LEVESQUE,0,2
CLINTON,23,20
LEMON,2,0
LOPEZ,2,0
BASH,2,0
